,Noise level,Scheme,Recall,FPR,Acc,Round 1 Tests,Total Tests,Round 1 TMACs,Total TMACs,Comp Relative to ITT (%),Total Channel Uses,Channel Uses Relative to ITT (%) 
0,No Noise,ITT,98.0,0.12090163934426229,99.87717502558854,0,48850,0.0,806.0250000000001,100.0,7353292800,100.0
1,No Noise,GTT,88.0,0.05328087216689208,99.93449066491975,12212,19792,335.34152,460.41152,57.121245618932406,2979250176,40.51586489252815
2,SNR 0,ITT,100.0,0.6721311475409836,99.32855680655067,0,48850,0.0,806.0250000000001,100.0,7353292800,100.0
3,SNR 0,GTT,82.0,0.2827984753473503,99.6990664919751,12212,22920,335.34152,512.02352,63.524520951583376,3450101760,46.91914022517912
4,SNR 1,ITT,98.0,0.7008196721311475,99.2978505629478,0,48850,0.0,806.0250000000001,100.0,7353292800,100.0
5,SNR 1,GTT,78.0,0.24796098200745934,99.72977399279398,12212,20880,335.34152,478.36352,59.34847182159362,3143024640,42.74309109518936
6,SNR 2,ITT,100.0,0.5778688524590164,99.42272262026611,0,48850,0.0,806.0250000000001,100.0,7353292800,100.0
7,SNR 2,GTT,82.0,0.23361613180868068,99.74819849328529,12212,22532,335.34152,505.62152000000003,62.730252783722584,3391696896,46.12487205731832
8,SNR 3,ITT,100.0,0.46311475409836067,99.53735926305015,0,48850,0.0,806.0250000000001,100.0,7353292800,100.0
9,SNR 3,GTT,82.0,0.16394114512889874,99.81780216180806,12212,19712,335.34152,459.09152,56.95747898638379,2967207936,40.35209825997953
10,SNR 5,ITT,100.0,0.41188524590163933,99.5885363357216,0,48850,0.0,806.0250000000001,100.0,7353292800,100.0
11,SNR 5,GTT,90.0,0.14754703061600885,99.84236816246315,12212,21312,335.34152,485.49152000000004,60.23281163735616,3208052736,43.627430910951894
